,count,tag,poiId,shopName,_id
,count,tag,poiId,shopName,_id
0,231,味道赞,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc16106
1,120,上菜快,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc16107
2,112,分量足,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc16108
3,110,回头客,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc16109
4,79,肉类好,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610a
5,78,菜品精致,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610b
6,9,海鲜棒,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610c
7,5,深夜食堂,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610d
8,3,朋友聚餐,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610e
9,5,主食差,41583252,阿鲁酸菜鱼,5ddb891175e7e7199fc1610f
,count,tag,poiId,shopName,_id
0,792,上菜快,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16764
1,408,回头客,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16765
2,249,牛肉赞,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16766
3,19,停车方便,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16767
4,72,朋友聚餐,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16768
5,30,闺蜜聚会,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc16769
6,11,家庭聚餐,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc1676a
7,9,下午茶,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc1676b
8,4,深夜食堂,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc1676c
9,4,请客,41643421,老树咖啡（峡山店）,5ddb8c1d75e7e7199fc1676d
,count,tag,poiId,shopName,_id
0,397,回头客,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620edc
1,359,上菜快,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620edd
2,5,海鲜棒,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ede
3,30,朋友聚餐,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620edf
4,29,现做现卖,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee0
5,8,闺蜜聚会,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee1
6,7,深夜食堂,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee2
7,3,下午茶,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee3
8,3,家庭聚餐,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee4
9,144,分量少,41971535,味都寿司（峡山店）,5ddb92fc77ac6e0e35620ee5
,count,tag,poiId,shopName,_id
0,39,服务热情,4991613,松田寿司屋,5ddb931477ac6e0e35622868
1,32,味道赞,4991613,松田寿司屋,5ddb931477ac6e0e35622869
2,26,上菜快,4991613,松田寿司屋,5ddb931477ac6e0e3562286a
3,19,性价比高,4991613,松田寿司屋,5ddb931477ac6e0e3562286b
4,17,环境优雅,4991613,松田寿司屋,5ddb931477ac6e0e3562286c
5,11,回头客,4991613,松田寿司屋,5ddb931477ac6e0e3562286d
6,6,菜品健康,4991613,松田寿司屋,5ddb931477ac6e0e3562286e
7,6,肉类好,4991613,松田寿司屋,5ddb931477ac6e0e3562286f
8,5,海鲜棒,4991613,松田寿司屋,5ddb931477ac6e0e35622870
9,11,分量少,4991613,松田寿司屋,5ddb931477ac6e0e35622871
,count,tag,poiId,shopName,_id
0,486,环境优雅,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e3562299e
1,419,味道赞,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e3562299f
2,362,饮品赞,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a0
3,287,回头客,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a1
4,169,上菜快,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a2
5,115,分量足,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a3
6,56,菜品精致,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a4
7,10,交通便利,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a5
8,23,下午茶,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a6
9,17,朋友聚餐,41228171,御可贡茶（新一城一楼总店）,5ddb952e77ac6e0e356229a7
,count,tag,poiId,shopName,_id
0,425,服务热情,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623fec
1,233,味道赞,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623fed
2,156,菜品不错,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623fee
3,116,上菜快,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623fef
4,104,回头客,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff0
5,67,牛肉赞,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff1
6,7,主食赞,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff2
7,4,海鲜棒,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff3
8,105,性价比低,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff4
9,93,分量少,41660040,盛味堂（合胜店）,5ddb96b977ac6e0e35623ff5
,count,tag,poiId,shopName,_id
0,122,服务热情,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e35624906
1,53,味道赞,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e35624907
2,29,价格实惠,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e35624908
3,23,上菜快,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e35624909
4,21,菜品精致,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490a
5,20,海鲜棒,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490b
6,14,分量足,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490c
7,13,肉类好,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490d
8,3,停车方便,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490e
9,3,回头客,42880579,欢顺大排档（南澳店）,5ddb96ca77ac6e0e3562490f
,count,tag,poiId,shopName,_id
0,11,服务热情,50743453,美味轩砂锅粥,5ddb96cd77ac6e0e356249d8
1,3,上菜快,50743453,美味轩砂锅粥,5ddb96cd77ac6e0e356249d9
,count,tag,poiId,shopName,_id
0,41,上菜快,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249f8
1,40,回头客,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249f9
2,35,饮品赞,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249fa
3,26,点心好,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249fb
4,12,肉类好,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249fc
5,5,菜品精致,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249fd
6,3,停车方便,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249fe
7,12,朋友聚餐,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e356249ff
8,3,现做现卖,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e35624a00
9,3,分量少,41258601,艾觅 休闲奶啡,5ddb972177ac6e0e35624a01
,count,tag,poiId,shopName,_id
0,163,服务热情,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624caa
1,152,点心好,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cab
2,123,性价比高,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cac
3,120,味道赞,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cad
4,57,价格实惠,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cae
5,35,回头客,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624caf
6,24,环境优雅,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cb0
7,13,饮品赞,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cb1
8,12,菜品精致,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cb2
9,4,上菜快,41615364,麦利莱西饼屋（谷贵路）,5ddb977677ac6e0e35624cb3
,count,tag,poiId,shopName,_id
